Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons,
16-09-16,78757,Residential,30914300,
08-12-09,78758,Irrigation - Residential,,
27-12-18,78758,Multi-Family,51024900,
21-12-16,78758,Residential,40594200,
16-01-13,78758,Irrigation - Multi-Family,1241400,
11-08-14,78759,Residential,53668800,
15-05-14,78759,Irrigation - Multi-Family,555700,
19-07-15,78759,Multi-Family,32494700,
23-01-19,78759,Irrigation - Residential,29300,
17-09-18,78613,Irrigation - Multi-Family,2000,
11-05-15,78613,Multi-Family,20700,
12-05-10,78617,Multi-Family,2164200,
25-09-19,78617,Residential,17532100,
20-01-09,78652,Multi-Family,14100,
06-07-09,78652,Residential,585400,
23-05-09,78652,Irrigation - Residential,42200,
12-10-17,78653,Residential,1599900,
09-06-19,78653,Multi-Family,145400,
27-05-15,78660,Residential,6382900,
03-02-11,78660,Multi-Family,2745200,
18-10-15,78701,Residential,819600,
07-07-09,78701,Irrigation - Multi-Family,89300,
12-05-19,78701,Multi-Family,11508200,
04-03-19,78702,Irrigation - Multi-Family,492200,
12-06-19,78702,Irrigation - Residential,6300,
04-10-18,78702,Residential,23851800,
28-02-13,78702,Multi-Family,7785100,
02-08-17,78703,Irrigation - Residential,654000,
18-08-11,78703,Multi-Family,12749600,
07-02-14,78703,Irrigation - Multi-Family,312500,
21-05-15,78703,Residential,37295800,
16-06-09,78704,Residential,36101000,
07-04-14,78704,Irrigation - Multi-Family,761700,
13-11-11,78704,Irrigation - Residential,101400,
25-08-18,78704,Multi-Family,43075000,
01-11-13,78705,Multi-Family,28814200,
05-12-11,78705,Residential,8106400,
02-03-19,78705,Irrigation - Residential,48700,
27-04-10,78705,Irrigation - Multi-Family,313000,
18-07-16,78717,Residential,19562600,
10-02-13,78717,Multi-Family,6778400,
27-06-09,78717,Irrigation - Multi-Family,1186400,
22-05-09,78717,Irrigation - Residential,,
13-08-19,78719,Residential,1562400,
19-06-19,78719,Multi-Family,584700,
24-04-14,78721,Multi-Family,3827800,
11-07-12,78721,Residential,13096000,
09-05-15,78721,Irrigation - Multi-Family,,
23-02-13,78721,Irrigation - Residential,900,
02-02-13,78722,Residential,7252700,
03-12-14,78722,Irrigation - Multi-Family,42600,
27-04-19,78722,Multi-Family,2589900,
26-06-13,78723,Multi-Family,19001300,
21-07-10,78723,Residential,29387600,
20-06-13,78723,Irrigation - Multi-Family,151300,
26-05-12,78724,Irrigation - Multi-Family,327200,
03-04-13,78724,Residential,16930900,
17-10-18,78724,Multi-Family,9483000,
07-09-18,78724,Irrigation - Residential,17900,
15-04-14,78725,Residential,1816000,
18-10-19,78725,Multi-Family,246000,
02-07-19,78725,Irrigation - Multi-Family,,
17-10-11,78726,Irrigation - Multi-Family,2313800,
28-03-17,78726,Multi-Family,11423300,
11-01-12,78726,Residential,11319000,
