Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons,
15-10-12,78730,Residential,16378200,
03-10-09,78730,Multi-Family,5138500,
23-07-10,78730,Irrigation - Multi-Family,616300,
15-08-10,78730,Irrigation - Residential,125300,
31-08-11,78731,Residential,74291200,
06-12-15,78731,Irrigation - Multi-Family,950200,
10-07-17,78731,Irrigation - Residential,575500,
12-03-14,78731,Multi-Family,18504800,
31-03-13,78732,Residential,6700,
19-09-15,78733,Residential,42300,
25-08-16,78735,Multi-Family,10810800,
03-02-14,78735,Irrigation - Multi-Family,2673800,
10-06-19,78735,Residential,26017400,
27-09-19,78736,Irrigation - Multi-Family,371300,
30-06-09,78736,Irrigation - Residential,20400,
27-11-14,78736,Residential,15884700,
28-08-16,78736,Multi-Family,2139600,
04-08-10,78737,Residential,9611900,
01-05-16,78737,Irrigation - Residential,11600,
07-02-19,78738,Residential,8200,
05-11-14,78739,Residential,56128000,
01-11-14,78741,Multi-Family,89898300,
18-02-16,78741,Residential,18732000,
15-06-09,78741,Irrigation - Residential,7900,
22-07-14,78741,Irrigation - Multi-Family,2629300,
13-08-13,78742,Multi-Family,810300,
13-01-10,78742,Residential,571600,
05-12-12,78744,Residential,55135000,
22-10-09,78744,Multi-Family,26473900,
07-10-12,78744,Irrigation - Residential,2500,
01-11-11,78744,Irrigation - Multi-Family,1361000,
14-02-16,78745,Irrigation - Residential,56900,
03-03-12,78745,Residential,82845200,
17-02-17,78745,Irrigation - Multi-Family,2689600,
27-12-16,78745,Multi-Family,29314900,
24-04-11,78746,Residential,40571200,
05-07-17,78746,Irrigation - Residential,489600,
20-01-12,78746,Irrigation - Multi-Family,1226200,
18-10-10,78746,Multi-Family,13121500,
10-08-11,78747,Multi-Family,8181300,
08-02-17,78747,Irrigation - Multi-Family,522600,
25-12-10,78747,Irrigation - Residential,,
03-06-13,78747,Residential,27516500,
21-03-15,78748,Irrigation - Multi-Family,8063900,
27-04-09,78748,Residential,78539800,
09-04-09,78748,Irrigation - Residential,28900,
10-06-12,78748,Multi-Family,18593200,
03-07-11,78749,Irrigation - Multi-Family,4390200,
11-07-18,78749,Irrigation - Residential,66400,
30-01-13,78749,Multi-Family,16824900,
28-05-14,78749,Residential,81700800,
21-10-17,78750,Multi-Family,15334400,
16-07-16,78750,Residential,66137600,
25-12-15,78750,Irrigation - Residential,22500,
24-06-18,78750,Irrigation - Multi-Family,1998000,
21-09-19,78751,Irrigation - Residential,81700,
06-05-12,78751,Residential,17397600,
25-12-14,78751,Multi-Family,12221200,
12-05-09,78751,Irrigation - Multi-Family,511400,
23-04-14,78752,Residential,13914200,
08-12-14,78752,Irrigation - Multi-Family,106400,
13-09-13,78752,Multi-Family,17633500,
26-12-12,78753,Irrigation - Residential,8200,
29-08-14,78753,Residential,47665000,
26-09-16,78753,Irrigation - Multi-Family,5440000,
20-02-09,78753,Multi-Family,46462600,
27-07-13,78754,Irrigation - Residential,4800,
10-09-16,78754,Residential,23217800,
26-03-13,78754,Irrigation - Multi-Family,2229600,
11-09-16,78754,Multi-Family,15767500,
31-12-12,78756,Irrigation - Residential,54000,
29-05-13,78756,Multi-Family,6973700,
31-10-16,78756,Irrigation - Multi-Family,261300,
11-12-12,78756,Residential,13227200,
01-03-12,78757,Irrigation - Residential,48200,
24-11-13,78757,Multi-Family,15358600,
16-03-16,78757,Irrigation - Multi-Family,421600,
22-10-10,78757,Residential,38240800,
02-04-16,78758,Irrigation - Residential,32400,
24-04-12,78758,Multi-Family,53409300,
09-09-16,78758,Irrigation - Multi-Family,3248700,
24-04-15,78758,Residential,46274400,
28-05-15,78759,Irrigation - Multi-Family,876900,
09-01-11,78759,Residential,80435900,
07-03-13,78759,Multi-Family,34264200,
08-12-19,78759,Irrigation - Residential,98800,
24-03-09,78613,Irrigation - Multi-Family,71000,
14-03-18,78613,Multi-Family,433000,
08-11-18,78617,Multi-Family,3211800,
17-09-13,78617,Irrigation - Residential,10200,
22-08-14,78617,Residential,22912200,
12-12-19,78652,Residential,965500,
14-07-16,78652,Irrigation - Residential,61800,
15-01-11,78652,Multi-Family,20000,
23-07-18,78653,Multi-Family,370300,
02-09-17,78653,Residential,2749400,
21-09-14,78660,Irrigation - Residential,8300,
21-05-14,78660,Multi-Family,3668200,
20-01-18,78660,Residential,9815400,
03-12-15,78701,Multi-Family,12983100,
17-10-16,78701,Irrigation - Multi-Family,273400,
24-07-12,78701,Residential,1469300,
10-05-14,78702,Irrigation - Multi-Family,999700,
05-01-09,78702,Irrigation - Residential,38500,
07-08-15,78702,Multi-Family,9454600,
29-08-13,78702,Residential,31513200,
20-05-13,78703,Irrigation - Multi-Family,745000,
19-09-18,78703,Irrigation - Residential,1792200,
27-12-08,78703,Multi-Family,13954300,
19-10-17,78703,Residential,73544800,
25-04-19,78704,Irrigation - Multi-Family,2407500,
30-12-13,78704,Multi-Family,46261600,
23-04-13,78704,Irrigation - Residential,203300,
13-08-18,78704,Residential,64895600,
07-06-16,78705,Residential,12089200,
12-10-09,78705,Irrigation - Multi-Family,328800,
09-04-12,78705,Irrigation - Residential,123600,
01-09-10,78705,Multi-Family,29142800,
11-10-09,78717,Irrigation - Residential,48600,
17-01-09,78717,Multi-Family,7410300,
06-06-14,78717,Residential,53166300,
09-03-12,78717,Irrigation - Multi-Family,6520300,
26-05-18,78719,Multi-Family,633000,
04-04-16,78719,Residential,1984000,
29-10-13,78721,Residential,18779100,
18-09-13,78721,Irrigation - Residential,8200,
14-03-19,78721,Irrigation - Multi-Family,285600,
01-10-11,78721,Multi-Family,5388500,
27-02-19,78722,Residential,12303900,
26-03-19,78722,Multi-Family,2537400,
04-07-11,78722,Irrigation - Multi-Family,265300,
21-09-12,78723,Irrigation - Multi-Family,295100,
22-12-09,78723,Multi-Family,22550500,
09-11-19,78723,Residential,46897300,
03-05-17,78724,Irrigation - Multi-Family,468700,
18-12-13,78724,Irrigation - Residential,48000,
02-02-14,78724,Residential,25504000,
27-05-12,78724,Multi-Family,12906800,
02-02-10,78725,Residential,3239200,
12-04-15,78725,Multi-Family,238500,
19-07-12,78726,Irrigation - Multi-Family,7153200,
27-02-16,78726,Residential,27110900,
22-08-17,78726,Irrigation - Residential,102800,
02-03-11,78726,Multi-Family,11719500,
25-02-11,78727,Irrigation - Residential,17600,
02-02-19,78727,Irrigation - Multi-Family,8026300,
26-09-09,78727,Multi-Family,21839400,
30-07-19,78727,Residential,56491800,
02-01-16,78728,Irrigation - Multi-Family,1764300,
10-01-13,78728,Residential,5859700,
19-02-12,78728,Multi-Family,8499800,
05-06-10,78729,Irrigation - Residential,19000,
23-04-09,78729,Irrigation - Multi-Family,3536800,
19-05-10,78729,Multi-Family,24034400,
31-10-13,78729,Residential,32280900,
01-10-17,78730,Irrigation - Residential,213100,
15-07-13,78730,Multi-Family,4775900,
07-07-17,78730,Irrigation - Multi-Family,682300,
09-08-13,78730,Residential,21473500,
07-12-17,78731,Multi-Family,19937200,
16-05-12,78731,Irrigation - Multi-Family,1099700,
06-06-13,78731,Residential,96886800,
12-10-13,78731,Irrigation - Residential,802500,
23-07-17,78732,Residential,7400,
06-04-11,78733,Residential,56900,
24-07-11,78735,Multi-Family,11265600,
30-08-11,78735,Irrigation - Multi-Family,3786800,
19-01-17,78735,Residential,38995800,
18-02-18,78736,Residential,22092000,
03-11-15,78736,Irrigation - Multi-Family,474100,
22-08-10,78736,Irrigation - Residential,22700,
05-01-16,78736,Multi-Family,2253600,
31-12-13,78737,Residential,13836100,
19-08-17,78737,Irrigation - Residential,18300,
12-11-18,78738,Residential,8100,
26-02-14,78739,Residential,73494400,
18-11-11,78739,Irrigation - Residential,100,
15-06-18,78741,Irrigation - Residential,50600,
21-08-12,78741,Multi-Family,85226000,
11-01-15,78741,Irrigation - Multi-Family,3281600,
11-01-13,78741,Residential,22708800,
08-01-17,78742,Residential,755500,
11-01-14,78742,Multi-Family,887300,
11-07-15,78744,Irrigation - Multi-Family,1528400,
12-09-13,78744,Residential,58110000,
21-12-17,78744,Irrigation - Residential,2600,
24-09-12,78744,Multi-Family,26525800,
04-07-19,78745,Residential,108179100,
21-06-19,78745,Irrigation - Multi-Family,4037500,
08-06-10,78745,Irrigation - Residential,108500,
07-12-16,78745,Multi-Family,31591000,
28-10-12,78746,Irrigation - Residential,725800,
11-05-12,78746,Residential,55773300,
12-03-18,78746,Irrigation - Multi-Family,1247200,
12-02-16,78746,Multi-Family,13143300,
01-01-17,78747,Multi-Family,7909900,
29-03-16,78747,Residential,36143800,
26-09-13,78747,Irrigation - Residential,,
27-03-18,78747,Irrigation - Multi-Family,1540400,
28-07-10,78748,Irrigation - Multi-Family,9658300,
25-05-14,78748,Irrigation - Residential,35700,
15-04-16,78748,Residential,104664100,
07-10-15,78748,Multi-Family,16471500,
30-09-11,78749,Irrigation - Multi-Family,6505300,
23-07-11,78749,Irrigation - Residential,58300,
21-11-19,78749,Multi-Family,17767600,
28-03-14,78749,Residential,111922500,
09-02-14,78750,Irrigation - Multi-Family,2701700,
08-04-10,78750,Irrigation - Residential,26600,
24-10-15,78750,Multi-Family,16279600,
23-07-13,78750,Residential,83959800,
24-08-13,78751,Multi-Family,12471500,
17-08-19,78751,Irrigation - Multi-Family,562600,
25-06-16,78751,Residential,20005800,
08-08-15,78751,Irrigation - Residential,130500,
15-12-13,78752,Irrigation - Multi-Family,78300,
07-08-10,78752,Residential,16188700,
13-05-15,78752,Multi-Family,18540600,
09-07-18,78753,Irrigation - Multi-Family,6391700,
03-12-11,78753,Residential,57034900,
07-03-14,78753,Multi-Family,48705200,
11-03-19,78753,Irrigation - Residential,28400,
12-01-19,78754,Irrigation - Residential,5200,
23-05-12,78754,Residential,29048100,
11-06-12,78754,Irrigation - Multi-Family,2752400,
30-01-15,78754,Multi-Family,17015200,
19-07-10,78756,Irrigation - Residential,113900,
03-03-19,78756,Irrigation - Multi-Family,237500,
25-01-09,78756,Multi-Family,6767300,
05-04-12,78756,Residential,16422000,
27-12-13,78757,Irrigation - Residential,63800,
03-09-15,78757,Multi-Family,16076200,
17-02-11,78757,Residential,48532400,
09-10-10,78757,Irrigation - Multi-Family,539400,
24-02-12,78758,Irrigation - Residential,43400,
24-08-12,78758,Multi-Family,54691700,
26-04-12,78758,Irrigation - Multi-Family,4111900,
13-01-14,78758,Residential,52936500,
27-01-13,78759,Irrigation - Multi-Family,1551500,
14-11-19,78759,Irrigation - Residential,160800,
12-06-16,78759,Residential,104035800,
15-02-17,78759,Multi-Family,37551500,
17-05-13,78613,Multi-Family,261300,
15-03-11,78613,Irrigation - Multi-Family,75000,
18-08-16,78617,Irrigation - Residential,9100,
23-08-09,78617,Multi-Family,3670700,
21-03-10,78617,Residential,23487100,
24-08-17,78652,Irrigation - Residential,54800,
08-10-19,78652,Multi-Family,29500,
11-07-19,78652,Residential,986600,
18-04-12,78653,Multi-Family,454900,
30-12-09,78653,Residential,2337200,
25-10-18,78660,Irrigation - Residential,8500,
01-10-10,78660,Multi-Family,3473400,
29-12-18,78660,Residential,9999700,
01-10-18,78701,Multi-Family,13744000,
03-01-18,78701,Residential,1482200,
17-06-18,78701,Irrigation - Multi-Family,417700,
22-12-11,78702,Irrigation - Residential,24000,
29-01-14,78702,Irrigation - Multi-Family,1216900,
16-11-10,78702,Residential,31268100,
06-07-19,78702,Multi-Family,9865400,
05-01-15,78703,Multi-Family,14477200,
23-01-15,78703,Irrigation - Multi-Family,848000,
19-12-13,78703,Residential,78720000,
16-04-15,78703,Irrigation - Residential,1990300,
23-06-16,78704,Multi-Family,50287000,
03-05-13,78704,Irrigation - Multi-Family,3675600,
19-08-15,78704,Irrigation - Residential,242900,
02-03-13,78704,Residential,68233400,
15-03-15,78705,Multi-Family,30282300,
28-07-12,78705,Irrigation - Multi-Family,519300,
03-03-18,78705,Irrigation - Residential,146200,
09-02-15,78705,Residential,11664600,
15-11-18,78717,Irrigation - Residential,38600,
30-11-12,78717,Residential,51865800,
28-09-18,78717,Irrigation - Multi-Family,7347200,
24-10-16,78717,Multi-Family,8174900,
20-06-09,78719,Residential,2082400,
21-11-13,78719,Multi-Family,629000,
13-03-18,78721,Irrigation - Multi-Family,244800,
15-04-15,78721,Irrigation - Residential,7800,
17-08-18,78721,Multi-Family,5557700,
06-05-14,78721,Residential,17323100,
11-06-09,78722,Irrigation - Multi-Family,279900,
20-05-18,78722,Multi-Family,2979100,
07-07-10,78722,Residential,12285000,
08-01-12,78723,Irrigation - Multi-Family,358100,
17-04-17,78723,Multi-Family,23408600,
08-12-16,78723,Residential,46164500,
09-11-15,78724,Residential,23864800,
19-09-17,78724,Irrigation - Residential,127700,
22-10-16,78724,Multi-Family,13277900,
16-02-11,78724,Irrigation - Multi-Family,594900,
15-06-11,78725,Residential,2602500,
17-02-18,78725,Multi-Family,249700,
26-04-14,78726,Irrigation - Multi-Family,8023400,
11-03-16,78726,Residential,27354400,
20-03-18,78726,Irrigation - Residential,30300,
04-08-16,78726,Multi-Family,11875000,
14-11-13,78727,Irrigation - Residential,20600,
29-03-17,78727,Irrigation - Multi-Family,7296100,
13-11-12,78727,Multi-Family,22273200,
04-08-15,78727,Residential,57631500,
18-04-16,78728,Multi-Family,9510600,
08-08-16,78728,Irrigation - Multi-Family,1825900,
29-10-10,78728,Residential,6356200,
01-03-18,78729,Residential,34236900,
11-07-10,78729,Irrigation - Multi-Family,4574800,
11-07-09,78729,Irrigation - Residential,15900,
29-12-13,78729,Multi-Family,24687800,
11-08-11,78730,Multi-Family,4861800,
25-01-16,78730,Residential,22516200,
31-05-13,78730,Irrigation - Residential,269100,
08-01-11,78730,Irrigation - Multi-Family,1073100,
17-03-16,78731,Irrigation - Multi-Family,1664400,
14-03-13,78731,Residential,101504800,
02-12-13,78731,Irrigation - Residential,828700,
12-08-14,78731,Multi-Family,21021600,
02-04-14,78732,Residential,14700,
16-12-19,78733,Residential,57700,
13-01-17,78735,Multi-Family,12018700,
16-04-13,78735,Residential,36809700,
19-08-14,78735,Irrigation - Multi-Family,3387900,
14-12-13,78736,Irrigation - Residential,19800,
31-07-19,78736,Residential,19659100,
20-01-11,78736,Multi-Family,2326900,
03-05-12,78736,Irrigation - Multi-Family,502500,
15-02-09,78737,Residential,12189500,
26-12-11,78737,Irrigation - Residential,16000,
07-03-16,78738,Residential,6200,
18-09-19,78739,Irrigation - Residential,,
10-01-12,78739,Residential,79518500,
06-10-16,78741,Residential,23213700,
27-11-12,78741,Irrigation - Residential,51500,
11-06-14,78741,Multi-Family,88446300,
24-03-16,78741,Irrigation - Multi-Family,3014000,
27-02-14,78742,Residential,778100,
11-09-13,78742,Multi-Family,908200,
22-05-15,78744,Multi-Family,27818200,
14-03-09,78744,Residential,60955600,
20-06-14,78744,Irrigation - Multi-Family,2176800,
11-06-19,78744,Irrigation - Residential,3500,
28-04-10,78745,Residential,105068800,
01-09-14,78745,Irrigation - Multi-Family,3637500,
30-05-10,78745,Irrigation - Residential,83000,
02-07-10,78745,Multi-Family,34608700,
13-08-16,78746,Multi-Family,14762000,
02-04-13,78746,Irrigation - Residential,749300,
29-09-18,78746,Residential,57484900,
11-05-19,78746,Irrigation - Multi-Family,950500,
24-07-17,78747,Irrigation - Residential,,
22-03-18,78747,Multi-Family,8463400,
09-06-14,78747,Irrigation - Multi-Family,1451800,
03-03-09,78747,Residential,35657100,
18-04-19,78748,Irrigation - Multi-Family,10731500,
04-01-11,78748,Irrigation - Residential,34000,
16-09-18,78748,Multi-Family,19636600,
05-06-14,78748,Residential,98323100,
02-08-15,78749,Irrigation - Residential,38200,
03-10-14,78749,Residential,101252700,
29-06-09,78749,Irrigation - Multi-Family,7967500,
08-08-11,78749,Multi-Family,18156200,
14-08-19,78750,Irrigation - Residential,37600,
28-12-16,78750,Residential,88447200,
15-06-14,78750,Irrigation - Multi-Family,2908900,
25-06-10,78750,Multi-Family,16468300,
10-03-09,78751,Irrigation - Residential,123500,
04-03-13,78751,Residential,19750900,
24-01-09,78751,Multi-Family,12429400,
13-07-12,78751,Irrigation - Multi-Family,612200,
02-04-18,78752,Residential,15813600,
14-07-12,78752,Irrigation - Multi-Family,74600,
26-08-18,78752,Multi-Family,18958500,
26-07-15,78753,Multi-Family,48285700,
13-10-14,78753,Irrigation - Residential,10700,
25-03-11,78753,Residential,54960100,
27-01-09,78753,Irrigation - Multi-Family,6498800,
02-05-15,78754,Irrigation - Multi-Family,2624600,
15-02-15,78754,Residential,28207700,
09-12-19,78754,Multi-Family,17158300,
12-06-10,78754,Irrigation - Residential,1700,
03-09-18,78756,Residential,16152400,
15-10-16,78756,Irrigation - Multi-Family,153100,
06-01-18,78756,Multi-Family,6994000,
29-12-08,78756,Irrigation - Residential,100000,
01-11-18,78757,Irrigation - Multi-Family,676900,
12-09-18,78757,Residential,48561200,
17-08-12,78757,Multi-Family,16625100,
13-10-18,78757,Irrigation - Residential,71800,
31-05-14,78758,Irrigation - Multi-Family,4545800,
21-04-12,78758,Irrigation - Residential,52500,
07-12-15,78758,Multi-Family,58719300,
11-06-13,78758,Residential,54035700,
08-10-13,78759,Irrigation - Residential,157900,
22-03-11,78759,Multi-Family,39304800,
24-06-17,78759,Irrigation - Multi-Family,1630500,
19-09-16,78759,Residential,107714100,
22-04-14,78613,Multi-Family,155700,
06-11-15,78613,Irrigation - Multi-Family,75000,
11-06-18,78617,Multi-Family,3434700,
07-03-11,78617,Residential,22238000,
08-01-13,78617,Irrigation - Residential,4700,
06-03-13,78652,Multi-Family,13700,
07-02-18,78652,Residential,841900,
07-09-10,78652,Irrigation - Residential,44900,
11-02-11,78653,Multi-Family,553600,
10-10-13,78653,Residential,2443300,
27-08-16,78660,Multi-Family,3478300,
27-11-15,78660,Residential,10100000,
21-10-14,78660,Irrigation - Residential,8400,
26-01-17,78701,Residential,1673600,
12-04-11,78701,Irrigation - Multi-Family,541900,
11-03-17,78701,Multi-Family,13754900,
28-07-13,78702,Multi-Family,9330700,
27-09-13,78702,Irrigation - Multi-Family,1162000,
28-10-11,78702,Irrigation - Residential,50900,
14-12-08,78702,Residential,30885800,
31-07-11,78703,Irrigation - Multi-Family,909800,
27-09-09,78703,Irrigation - Residential,2046300,
26-04-11,78703,Multi-Family,15079900,
01-04-09,78703,Residential,84456900,
04-08-18,78704,Multi-Family,49536900,
04-03-14,78704,Irrigation - Residential,330100,
19-03-18,78704,Residential,66433700,
17-06-17,78704,Irrigation - Multi-Family,3718000,
28-04-16,78705,Irrigation - Multi-Family,566100,
20-07-09,78705,Multi-Family,35386000,
11-04-13,78705,Irrigation - Residential,179700,
02-01-17,78705,Residential,13667800,
14-06-19,78717,Multi-Family,8387900,
30-04-09,78717,Residential,52052500,
28-08-11,78717,Irrigation - Residential,54200,
02-07-09,78717,Irrigation - Multi-Family,8379400,
06-07-10,78719,Residential,2185700,
08-08-18,78719,Multi-Family,648900,
17-01-18,78721,Multi-Family,5094900,
30-06-17,78721,Residential,17007600,
08-04-13,78721,Irrigation - Residential,12900,
06-04-12,78721,Irrigation - Multi-Family,277800,
07-02-16,78722,Irrigation - Multi-Family,334100,
18-03-16,78722,Residential,12513500,
07-11-17,78722,Multi-Family,2771900,
09-12-08,78723,Residential,49404400,
20-10-10,78723,Irrigation - Multi-Family,347400,
10-06-15,78723,Multi-Family,23364700,
27-12-15,78724,Multi-Family,13127900,
20-08-10,78724,Irrigation - Multi-Family,563200,
04-12-10,78724,Irrigation - Residential,45000,
12-02-11,78724,Residential,22279300,
06-08-19,78725,Residential,2620300,
29-09-15,78725,Multi-Family,349900,
19-08-18,78726,Residential,30139600,
12-07-09,78726,Multi-Family,12205600,
25-12-08,78726,Irrigation - Residential,41600,
07-05-13,78726,Irrigation - Multi-Family,8262700,
06-03-09,78727,Irrigation - Multi-Family,8534700,
22-01-14,78727,Residential,65477500,
21-01-13,78727,Irrigation - Residential,26100,
02-06-19,78727,Multi-Family,22748100,
22-07-18,78728,Multi-Family,7206700,
10-02-18,78728,Residential,6139500,
04-03-17,78728,Irrigation - Multi-Family,2650200,
10-08-12,78729,Irrigation - Multi-Family,4060800,
15-10-19,78729,Irrigation - Residential,16300,
30-12-19,78729,Multi-Family,24791100,
02-03-16,78729,Residential,36778400,
07-09-15,78730,Multi-Family,4301500,
10-12-16,78730,Irrigation - Multi-Family,849300,
09-01-16,78730,Residential,27185900,
24-09-14,78730,Irrigation - Residential,176700,
08-07-15,78731,Irrigation - Residential,935300,
17-06-15,78731,Residential,109754700,
09-11-10,78731,Irrigation - Multi-Family,1263100,
01-06-15,78731,Multi-Family,20545300,
17-10-12,78732,Residential,12100,
11-12-19,78733,Residential,71700,
10-01-16,78735,Residential,36795200,
17-08-17,78735,Irrigation - Multi-Family,3131900,
26-07-16,78735,Multi-Family,10729600,
13-11-15,78736,Residential,19402500,
29-08-18,78736,Irrigation - Multi-Family,527400,
06-07-13,78736,Irrigation - Residential,29200,
31-05-09,78736,Multi-Family,2394100,
22-09-12,78737,Residential,11990600,
01-04-13,78737,Irrigation - Residential,11900,
07-02-12,78738,Residential,5500,
23-06-09,78739,Irrigation - Residential,400,
21-01-19,78739,Residential,83806500,
12-03-16,78741,Irrigation - Residential,66400,
15-12-08,78741,Multi-Family,91170200,
05-06-18,78741,Irrigation - Multi-Family,3237000,
27-09-10,78741,Residential,22808200,
20-07-12,78742,Multi-Family,927900,
28-01-16,78742,Residential,757300,
05-03-18,78744,Irrigation - Multi-Family,2134500,
23-12-16,78744,Irrigation - Residential,1900,
07-12-14,78744,Multi-Family,28082400,
01-09-16,78744,Residential,56043200,
04-10-14,78745,Residential,100955700,
22-02-14,78745,Irrigation - Multi-Family,3362400,
30-07-16,78745,Multi-Family,31928100,
25-05-16,78745,Irrigation - Residential,99300,
23-05-14,78746,Multi-Family,14941400,
04-10-13,78746,Residential,61611900,
23-06-13,78746,Irrigation - Multi-Family,1231800,
24-06-10,78746,Irrigation - Residential,835500,
08-04-18,78747,Irrigation - Residential,100,
11-12-14,78747,Multi-Family,8039600,
21-10-18,78747,Residential,33173400,
22-12-14,78747,Irrigation - Multi-Family,1508100,
01-06-11,78748,Residential,98216600,
16-04-19,78748,Irrigation - Residential,31800,
08-05-18,78748,Multi-Family,18002600,
17-01-14,78748,Irrigation - Multi-Family,10486700,
29-01-17,78749,Irrigation - Multi-Family,7181200,
13-04-09,78749,Irrigation - Residential,27900,
05-07-10,78749,Residential,100563000,
29-08-17,78749,Multi-Family,17700500,
23-01-14,78750,Irrigation - Multi-Family,3153100,
22-10-12,78750,Multi-Family,17187000,
12-08-11,78750,Irrigation - Residential,48200,
04-12-19,78750,Residential,94515400,
02-12-08,78751,Irrigation - Residential,163900,
16-03-19,78751,Irrigation - Multi-Family,557600,
28-02-19,78751,Residential,21988700,
16-01-11,78751,Multi-Family,13194000,
06-04-13,78752,Irrigation - Multi-Family,74100,
07-04-12,78752,Multi-Family,18648400,
14-01-16,78752,Residential,16642600,
03-05-18,78753,Irrigation - Multi-Family,5548000,
18-03-11,78753,Irrigation - Residential,20100,
12-01-17,78753,Residential,54471100,
27-06-15,78753,Multi-Family,50117500,
04-10-19,78754,Multi-Family,16948200,
13-05-16,78754,Irrigation - Multi-Family,2070500,
19-08-11,78754,Irrigation - Residential,200,
10-03-14,78754,Residential,28106000,
18-03-14,78756,Irrigation - Residential,104200,
30-07-12,78756,Irrigation - Multi-Family,189800,
25-04-16,78756,Multi-Family,6760700,
15-11-13,78756,Residential,19023100,
18-03-12,78757,Irrigation - Multi-Family,641400,
02-11-16,78757,Multi-Family,16939600,
10-05-18,78757,Residential,59647300,
22-06-17,78757,Irrigation - Residential,75200,
02-02-09,78758,Residential,57089800,
14-05-15,78758,Irrigation - Residential,47600,
10-02-16,78758,Irrigation - Multi-Family,4914100,
04-11-19,78758,Multi-Family,52561600,
09-05-16,78759,Irrigation - Multi-Family,1764700,
22-12-19,78759,Multi-Family,38338200,
30-01-18,78759,Residential,118163200,
16-01-18,78759,Irrigation - Residential,227700,
26-08-17,78613,Irrigation - Multi-Family,301500,
21-03-16,78613,Multi-Family,139300,
21-05-18,78617,Residential,18885900,
02-08-09,78617,Multi-Family,3188200,
29-09-19,78617,Irrigation - Residential,4200,
28-09-19,78652,Multi-Family,9400,
21-08-14,78652,Residential,725000,
18-11-16,78652,Irrigation - Residential,42500,
26-01-13,78653,Residential,1896400,
15-11-15,78653,Multi-Family,236100,
19-02-09,78660,Residential,8329400,
21-01-15,78660,Irrigation - Multi-Family,2500,
29-05-12,78660,Irrigation - Residential,9400,
19-12-08,78660,Multi-Family,3376400,
22-07-13,78701,Multi-Family,13131600,
12-02-15,78701,Irrigation - Multi-Family,476400,
27-06-14,78701,Residential,1329600,
03-10-19,78702,Irrigation - Multi-Family,753100,
21-05-13,78702,Irrigation - Residential,21000,
26-06-14,78702,Multi-Family,9631700,
07-05-16,78702,Residential,26484800,
29-12-11,78703,Irrigation - Multi-Family,718700,
03-04-11,78703,Irrigation - Residential,1455400,
15-01-09,78703,Multi-Family,13728300,
05-07-15,78703,Residential,60842100,
24-09-15,78704,Multi-Family,49319400,
29-12-14,78704,Irrigation - Multi-Family,3461900,
05-10-17,78704,Irrigation - Residential,237900,
13-03-09,78704,Residential,49282500,
02-07-17,78705,Multi-Family,36871500,
27-04-12,78705,Residential,10916900,
16-05-16,78705,Irrigation - Multi-Family,454200,
03-02-18,78705,Irrigation - Residential,86000,
19-07-16,78717,Multi-Family,7743400,
20-09-12,78717,Irrigation - Residential,12900,
15-09-10,78717,Residential,34246000,
14-07-14,78717,Irrigation - Multi-Family,5816500,
28-06-17,78719,Multi-Family,517000,
24-04-13,78719,Residential,1447700,
27-10-17,78721,Residential,15099400,
17-08-09,78721,Irrigation - Residential,2400,
29-11-18,78721,Multi-Family,4761800,
28-06-09,78721,Irrigation - Multi-Family,44000,
23-11-10,78722,Irrigation - Multi-Family,138200,
29-06-17,78722,Residential,9428000,
23-10-13,78722,Multi-Family,2583600,
14-05-14,78723,Irrigation - Multi-Family,234500,
30-12-15,78723,Residential,34566100,
07-05-09,78723,Multi-Family,22323900,
02-03-15,78724,Irrigation - Residential,25200,
18-06-12,78724,Irrigation - Multi-Family,483500,
23-05-15,78724,Residential,20086800,
26-02-16,78724,Multi-Family,12441800,
28-10-09,78725,Residential,2107100,
09-04-19,78725,Multi-Family,346600,
27-03-12,78726,Multi-Family,11461000,
20-09-16,78726,Irrigation - Multi-Family,5967900,
29-10-19,78726,Irrigation - Residential,5500,
09-03-17,78726,Residential,20848600,
24-02-14,78727,Multi-Family,22596200,
28-08-14,78727,Irrigation - Multi-Family,4992900,
23-06-15,78727,Residential,44580000,
20-04-19,78727,Irrigation - Residential,20300,
25-09-18,78728,Multi-Family,8516500,
26-03-10,78728,Residential,4561800,
19-04-15,78728,Irrigation - Multi-Family,1503700,
03-12-08,78729,Multi-Family,22842400,
14-01-18,78729,Residential,23561100,
20-10-13,78729,Irrigation - Multi-Family,3258900,
24-07-18,78729,Irrigation - Residential,15900,
16-06-11,78730,Residential,17218700,
19-09-09,78730,Irrigation - Residential,163900,
30-10-14,78730,Multi-Family,4509300,
13-06-11,78730,Irrigation - Multi-Family,647300,
13-12-16,78731,Multi-Family,20656800,
30-03-17,78731,Irrigation - Multi-Family,1075500,
01-06-12,78731,Irrigation - Residential,662700,
18-12-08,78731,Residential,71080600,
18-09-14,78732,Residential,7100,
24-04-10,78733,Residential,52200,
01-01-11,78735,Irrigation - Multi-Family,3197000,
02-11-11,78735,Residential,24604300,
04-09-13,78735,Multi-Family,9988600,
11-07-17,78736,Residential,13290700,
01-02-17,78736,Irrigation - Multi-Family,507500,
02-12-11,78736,Irrigation - Residential,3900,
06-06-10,78736,Multi-Family,2452900,
27-10-10,78737,Irrigation - Residential,5600,
03-01-11,78737,Residential,6528300,
